ZIP,County_Code,City,ST,County
00501,36103,Holtsville,NY,Suffolk
00544,36103,Holtsville,NY,Suffolk
00601,72001,Adjuntas,PR,Adjuntas
00602,72003,Aguada,PR,Aguada
00603,72005,Aguadilla,PR,Aguadilla
00604,72005,Aguadilla,PR,Aguadilla
00605,72005,Aguadilla,PR,Aguadilla
00606,72093,Maricao,PR,Maricao
00610,72011,Anasco,PR,Anasco
00611,72141,Angeles,PR,Utuado
00612,72013,Arecibo,PR,Arecibo
00613,72013,Arecibo,PR,Arecibo
00614,72013,Arecibo,PR,Arecibo
00616,72013,Bajadero,PR,Arecibo
00617,72017,Barceloneta,PR,Barceloneta
00622,72023,Boqueron,PR,Cabo Rojo
00623,72023,Cabo Rojo,PR,Cabo Rojo
00624,72111,Penuelas,PR,Penuelas
00627,72027,Camuy,PR,Camuy
00631,72081,Castaner,PR,Lares
00636,72125,Rosario,PR,San German
00637,72121,Sabana Grande,PR,Sabana Grande
00638,72039,Ciales,PR,Ciales
00641,72141,Utuado,PR,Utuado
00646,72051,Dorado,PR,Dorado
00647,72055,Ensenada,PR,Guanica
00650,72054,Florida,PR,Florida
00652,72013,Garrochales,PR,Arecibo
00653,72055,Guanica,PR,Guanica
00656,72059,Guayanilla,PR,Guayanilla
00659,72065,Hatillo,PR,Hatillo
00660,72067,Hormigueros,PR,Hormigueros
00662,72071,Isabela,PR,Isabela
00664,72073,Jayuya,PR,Jayuya
00667,72079,Lajas,PR,Lajas
00669,72081,Lares,PR,Lares
00670,72011,Las Marias,PR,Anasco
00670,72027,Las Marias,PR,Camuy
00670,72083,Las Marias,PR,Las Marias
00674,72091,Manati,PR,Manati
00676,72099,Moca,PR,Moca
00677,72117,Rincon,PR,Rincon
00678,72115,Quebradillas,PR,Quebradillas
00680,72097,Mayaguez,PR,Mayaguez
00681,72097,Mayaguez,PR,Mayaguez
00682,72097,Mayaguez,PR,Mayaguez
00683,72125,San German,PR,San German
00685,72131,San Sebastian,PR,San Sebastian
00687,72101,Morovis,PR,Morovis
00688,72013,Sabana Hoyos,PR,Arecibo
00690,72005,San Antonio,PR,Aguadilla
00692,72143,Vega Alta,PR,Vega Alta
00693,72145,Vega Baja,PR,Vega Baja
00694,72143,Vega Baja,PR,Vega Alta
00694,72145,Vega Baja,PR,Vega Baja
00698,72153,Yauco,PR,Yauco
00703,72007,Aguas Buenas,PR,Aguas Buenas
00704,72057,Aguirre,PR,Guayama
00704,72123,Aguirre,PR,Salinas
00705,72009,Aibonito,PR,Aibonito
00707,72095,Maunabo,PR,Maunabo
00714,72015,Arroyo,PR,Arroyo
00715,72113,Mercedita,PR,Ponce
00716,72113,Ponce,PR,Ponce
00717,72113,Ponce,PR,Ponce
00718,72103,Naguabo,PR,Naguabo
00719,72105,Naranjito,PR,Naranjito
00720,72107,Orocovis,PR,Orocovis
00721,72119,Palmer,PR,Rio Grande
00723,72109,Patillas,PR,Patillas
00725,72025,Caguas,PR,Caguas
00726,72025,Caguas,PR,Caguas
00727,72025,Caguas,PR,Caguas
00728,72113,Ponce,PR,Ponce
00729,72029,Canovanas,PR,Canovanas
00730,72113,Ponce,PR,Ponce
00731,72113,Ponce,PR,Ponce
00732,72113,Ponce,PR,Ponce
00733,72113,Ponce,PR,Ponce
00734,72113,Ponce,PR,Ponce
00735,72037,Ceiba,PR,Ceiba
00736,72035,Cayey,PR,Cayey
00737,72035,Cayey,PR,Cayey
00738,72053,Fajardo,PR,Fajardo
00739,72041,Cidra,PR,Cidra
00740,72053,Puerto Real,PR,Fajardo
00741,72069,Punta Santiago,PR,Humacao
00742,72037,Roosevelt Roads,PR,Ceiba
00744,72103,Rio Blanco,PR,Naguabo
00745,72119,Rio Grande,PR,Rio Grande
00751,72123,Salinas,PR,Salinas
00754,72129,San Lorenzo,PR,San Lorenzo
